Original Dataset,Operated by:,Dataset Description,PROGRAM,SITE NAME,HOURS OF OPERATION,PHONE,LOCATION,FAX,Fax 2,Phone 2,Phone 3,Phone 4,Phone 5,ADMIN,COUNTY,EMAIL,CATEGORY,Website,Additional information,Additional information - 2
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Family Health Care & Prevention Center,,,"1020 Milwaukee Ave
Deerfield, IL 60015-3551
(42.16120279213358, -87.91939146404943)",,,,,,,"Alex Golovin, D.D.S.",Lake,info@fhpdental.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,River Run Dental Associates,,,"20602 Milwaukee Ave
Deerfield, IL 60015-3600
(42.16367970757709, -87.9206438505521)",,,,,,,"Nora M. Donatelli, D.D.S.",Lake,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Stein, Barry N., D.D.S.",,,"956 Deerfield Rd
Deerfield, IL 60015-4124
(42.16737967187815, -87.85160233641312)",,,,,,,"Barry N. Stein, D.D.S.",Lake,barrynsteindds@mac.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Arne, Scott A., D.D.S.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Scott A. Arne, D.D.S.",Lake,scottarne@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Carnelli, Victor T., D.D.S.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Victor T. Carnelli, D.D.S.",Lake,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Crowley, Alexius J., D.D.S.",,,"720 Osterman Rd
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Alexius J. Crowley, D.D.S.",Lake,ajcrowley@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Jarosz & Valente Orthodontics, P.C.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Rudolfo Valente, D.D.S.",Lake,rudolfov@aol.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Lockwood, Carol A., D.D.S.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Carol A. Lockwood, D.D.S.",Lake,carollockwood@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"LoGiudice, Benjamin A., D.D.S., Ltd.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Benjamin A. LoGiudice, D.D.S.",Lake,benlogiudice@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Roden, Earl, D.D.S.",,,"720 Osterman Ave
Deerfield, IL 60015-4339
(42.164733861210436, -87.84609704691513)",,,,,,,"Earl Roden, D.D.S.",Lake,DRRODENDDS@GMAIL.COM,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Whitehall North,,,"300 Waukegan Rd
Deerfield, IL 60015-4908
(42.15826916678532, -87.83928610595399)",,,,,,,"Jeremy Kantor, Administrator",Lake,jkantor@whitehallofdeerfield.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Lyon, Eva M., D.D.S.",,,"420 Lake Cook Rd
Deerfield, IL 60015-4914
(42.152866717389614, -87.83813755941405)",,,,,,,"Eva M. Lyon, D.D.S.",Cook,info@deerfielddentalcare.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Burns, William J., D.D.S.",,,"405 Lake Cook Rd
Deerfield, IL 60015-4918
(42.15270218594822, -87.83773031915163)",,,,,,,"William J. Burns, D.D.S.",Lake,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Atta, Al E., D.D.S.",,,"400 County Line Rd
Deerfield, IL 60015-4919
(42.15286380234581, -87.83770030284546)",,,,,,,"Al E. Atta, D.D.S.",Lake,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Rodbro & Galliani, D.D.S.",,,"400 Lake Cook Rd
Deerfield, IL 60015-4919
(42.1528358307628, -87.83789523000792)",,,,,,,"M. Rodbro & R. Galliani, D.D.S.",Lake,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Kaihara, Wesley T., D.D.S.",,,"400 Lake Cook Rd
Deerfield, IL 60015-4930
(42.1528358307628, -87.83789523000792)",,,,,,,"Wesley T. Kaihara, D.D.S.",Lake,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Schichtel, Karen S., D.D.S.",,,"707 Lake Cook Rd
Deerfield, IL 60015-4938
(42.15276388500047, -87.84548550793522)",,,,,,,"Karen S. Schichtel, D.D.S.",Lake,dr.k.schichtel@gmail.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Bannockburn Dental Group,,,"2525 Waukegan Rd
Deerfield, IL 60015-5514
(42.20114398596318, -87.8633819802913)",,,,,,,"Andrew P. Wyshntzky, D.D.S.",Lake,BANNOCKDENTAL@YAHOO.COM,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Treiber, Ronald L., D.D.S.",,,"707 Lake Cook Rd
Deerfield, IL 60015-5613
(42.15276388500047, -87.84548550793522)",,,,,,,"Ronald L. Treiber, D.D.S.",Cook,doctorron@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Northwestern Dental Group,,,"1469 Deerfield
IL 60015-6007
(42.167387268232886, -87.86461963713843)",,,,,,,"Lawrence A. Mulvaney, D.D.S.",Lake,george@northwesterndentalgroup.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Northwestern Dental Group,,,"1469 Deerfield
IL 60015-6007
(42.167387268232886, -87.86461963713843)",,,,,,,"Lawrence A. Mulvaney, D.D.S.",Cook,george@northwesterndentalgroup.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Northwestern Dental Group @ Arlington Heights,,,"1469 Deerfield
IL 60015-6007
(42.167387268232886, -87.86461963713843)",,,,,,,"Lawrence A. Mulvaney, D.D.S.",Cook,george@northwesterndentalgroup.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Smiling Patient Dental Care,,,"615 Wolf Rd Des Plaines
IL 60016-1045
(42.064377155673185, -87.90829339750961)",,,,,,,"Bianca Malin, D.D.S.",Cook,Alex@smilingpatient.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Wyckoff, Jr., Harold O., D.D.S.",,,"1355 Golf Rd
DesPlaines, IL 60016-1232
(42.0543061092327, -87.88968718567531)",,,,,,,"Harold O. Wyckoff, Jr., D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Tietzer, Gregory H, D.D.S.",,,"1400 Golf Rd Des Plaines
IL 60016-1236
(42.05448404845356, -87.88948773375685)",,,,,,,"Gregory H Tietzer, D.D.S.",Cook,gregorytietzerdds@gmail.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Zuffante, Joseph T., D.D.S.",,,"1400 Golf Rd
DesPlaines, IL 60016-1252
(42.05448404845356, -87.88948773375685)",,,,,,,"Joseph T. Zuffante, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Dr. Mollsen & Associates,,,"1455 Golf Rd
DesPlaines, IL 60016-1253
(42.05435107533418, -87.88820330432696)",,,,,,,"Clifford M. Mollsen, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Artistic Cosmetic Dentistry,,,"1455 Golf Rd
DesPlaines, IL 60016-1254
(42.05435107533418, -87.88820330432696)",,,,,,,"Nasrin Azim, D.M.D.",Cook,monica@artisticcosmeticdentistry.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Roseroot, Alfred, D.M.D.",,,"1455 Golf Rd
DesPlaines, IL 60016-1254
(42.05435107533418, -87.88820330432696)",,,,,,,"Alfred E. Roseroot, D.M.D.",Cook,aldental@mac.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Durbin, Michael G., D.D.S.",,,"1355 Golf Rd
DesPlaines, IL 60016-1544
(42.0543061092327, -87.88968718567531)",,,,,,,"Michael G. Durbin, D.D.S.",Cook,mdurbin@wideopenwest.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Golf Glen Dentistry,,,"9301 Golf Rd
DesPlaines, IL 60016-1600
(42.05389993562911, -87.85766350641218)",,,,,,,"Marta Milejczyk,  D.D.S.",Cook,office@golfglendentistry.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Fijal & Associates,,,"29 Broadway
DesPlaines, IL 60016-2335
(42.051879540711504, -87.90929889554744)",,,,,,,"Phillip J. Fijal, D.D.S.",Cook,FIJALASSOC@AOL.COM,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Ospelt, Teresa D., D.D.S.",,,"25 Broadway
DesPlaines, IL 60016-2335
(42.05178785654848, -87.90925682869617)",,,,,,,"Teresa D. Ospelt, D.D.S.",Cook,ospelt@att.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Meyer Dental Group,,,"73 Broadway St
DesPlaines, IL 60016-2347
(42.05262437703789, -87.90967911438668)",,,,,,,"Thomas Meyer, D.D.S.",Cook,tom@meyerdentalgroup.net,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Bright Dental,,,"737 Golf Rd Des Plaines
IL 60016-2414
(42.05376961324485, -87.90611823268263)",,,,,,,"Eva A. Hanna, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Miller, Marc A., D.D.S.",,,"645 Golf Rd
DesPlaines, IL 60016-2462
(42.05369221154057, -87.90835824951924)",,,,,,,"Marc A. Miller, D.D.S.",Cook,suburbandental@yahoo.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Partridge, Michael J., D.D.S.",,,"690 1st Ave
DesPlaines, IL 60016-3325
(42.04068138048882, -87.89576660259337)",,,,,,,"Michael J. Partridge, D.D.S.",Cook,mjpdds@comcast.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Gale, Dana Merce, D.D.S.",,,"1645 Rand Rd
DesPlaines, IL 60016-3551
(42.046511213784605, -87.88399534598047)",,,,,,,"Dana Merce Gale, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Devitt, Jazmin, D.D.S.",,,"1300 Jefferson St
DesPlaines, IL 60016-4371
(42.043136794913345, -87.89115198552892)",,,,,,,"Jazmin Devitt, D.D.S.",Cook,doc4dental@att.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Apple Dental Associates,,,"712 Lee St
DesPlaines, IL 60016-4515
(42.04077582327381, -87.88841022333779)",,,,,,,"James L. O'Carroll, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Barry, Joseph P., D.D.S.",,,"685 Graceland Ave
DesPlaines, IL 60016-4518
(42.04051448855188, -87.89049888845202)",,,,,,,"Joseph P. Barry, D.D.S.",Cook,drbarry@drbarrydds.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Cholakian, Susan, D.D.S.",,,"1585 Ellinwood Ave
DesPlaines, IL 60016-4535
(42.03988092197687, -87.88530058423821)",,,,,,,"Susan Cholakian, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Halpern, Jeffrey A., D.D.S.",,,"701 Lee St
DesPlaines, IL 60016-4548
(42.04024001131404, -87.88874668297551)",,,,,,,"Jeffrey A. Halpern, D.D.S.",Cook,jeffoms@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Library Plaza Dental Center,,,"1533 Ellinwood Ave Des Plaines
IL 60016-4553
(42.04035731926052, -87.8863813453666)",,,,,,,"Sivan Patel, D.M.D",Cook,LPdentalcenter@gmail.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Moy, Randall  D.D.S.",,,"490-A Lee St
DesPlaines, IL 60016-4607
(42.04434985942322, -87.88604286934101)",,,,,,,"Randall Moy, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Metropolitan Dental Care,,,"1541 Market St Des Plaines
IL 60016-4608
(42.04230753210157, -87.8854809406585)",,,,,,,"Scott Yang, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Brite Bite Dental,,,"444 Lee St
DesPlaines, IL 60016-4613
(42.04526792283826, -87.88591003315224)",,,,,,,"Mark Levy, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Hattenhauer, Mark A., D.D.S.",,,"636 DesPlaines River Rd
DesPlaines, IL 60016-4624
(42.04190826549032, -87.88419327774683)",,,,,,,"Mark A. Hattenhauer, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Metropolitan Square Dental  Care,,,"1460 Market St Des Plaines
IL 60016-4645
(42.04249786399077, -87.88580353652843)",,,,,,,"Lowell R. Sherman, D.D.S.",Cook,TOOTHDOCSO@AOL.COM,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Access Dental,,,"1695 Elk Blvd
DesPlaines, IL 60016-4721
(42.04499284873162, -87.88507927149598)",,,,,,,"Shaikh Imaad, D.D.S.",Cook,luckyluque13@yahoo.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Janov & Duggan Dentistry, Ltd",,,"2454 Dempster St
DesPlaines, IL 60016-5320
(42.039573038139416, -87.85505158695203)",,,,,,,"Barry A. Janov, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Mistry, Dhiren V., D.D.S.",,,"2474 Dempster St
DesPlaines, IL 60016-5322
(42.03956460614759, -87.85524323771357)",,,,,,,"Dhiren V. Mistry, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Frye, Karen R., D.D.S.",,,"634 Algonquin Rd
DesPlaines, IL 60016-5795
(42.030832024249285, -87.90810029162881)",,,,,,,"Karen R. Frye, D.D.S.",Cook,karen@boghsian.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Kuntz, Gary R., D.D.S.",,,"1173 Algonquin Rd
DesPlaines, IL 60016-6305
(42.0312398901822, -87.8951138329452)",,,,,,,"Gary R. Kuntz, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Victoria Dental,,,"790 Lee St
DesPlaines, IL 60016-6419
(42.038684885583734, -87.89003792126675)",,,,,,,"Victoria Muzykanski, D.D.S.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Kaminski, John, D.D.S.",,,"880 Lee St
DesPlaines, IL 60016-6424
(42.037468529452674, -87.89106488758891)",,,,,,,"John Kaminski, D.D.S.",Cook,info@johnkaminskidds.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Kenny, Edward, D.D.S., P.C.",,,"780 Lee St
DesPlaines, IL 60016-6459
(42.03885575676935, -87.88989402974204)",,,,,,,"Edward J. Kenny, D.D.S.",Cook,ejkddspc@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Davis Dental Clinic,,,"1430 Thacker St
DesPlaines, IL 60016-6460
(42.03724581128141, -87.88887393499888)",,,,,,,"William G. Davis, D.D.S.",Cook,WGD60016@JUNO.COM,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Ficek, Robert J., D.D.S.",,,"1430 Thacker St
DesPlaines, IL 60016-6460
(42.03724581128141, -87.88887393499888)",,,,,,,"Robert J. Ficek, D.D.S.",Cook,thanxdk@aol.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Ryback, Kenneth R., D.D.S.",,,"880 Lee St
DesPlaines, IL 60016-6465
(42.037468529452674, -87.89106488758891)",,,,,,,"Kenneth R. Ryback, D.D.S.",Cook,drkryback@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Oakton White Dental,,,"1625 Oakton Des Plaines
IL 60018-2107
(42.02291977041011, -87.8979249754637)",,,,,,,"Lihn T. Tran, D.M.D.",Cook,,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Terp, Richard, D.D.S.",,,"1763 Oakton St
DesPlaines, IL 60018-2131
(42.02433170599613, -87.88019034504589)",,,,,,,"Richard Terp, D.D.S.",Cook,terp1763@hotmail.com,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Dr. John S Zanoni Orthodontics,,,"1475 Oakton St
DesPlaines, IL 60018-2166
(42.024178821251155, -87.88732196873826)",,,,,,,John S. Zanoni. D.M.D.,Cook,zanoni_dds@sbcglobal.net,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Vivirito, Vincent C., D.D.S.",,,"1475 Oakton St
DesPlaines, IL 60018-2166
(42.024178821251155, -87.88732196873826)",,,,,,,"Vincent C. Vivirito, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Vivirito, Gregory, D.D.S.",,,"1475 Oakton St
DesPlaines, IL 60018-2197
(42.024178821251155, -87.88732196873826)",,,,,,,"Gregory Vivirito, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Kravtsov, David S., D.D.S.",,,"1645 River Rd Des Plaines
IL 60018-2206
(42.02365825857269, -87.87639270720112)",,,,,,,"David S. Kravtsov, D.D.S.",Cook,,Dentist,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Parkside Dental,,,"1645 River Rd
DesPlaines, IL 60018-2206
(42.02365825857269, -87.87639270720112)",,,,,,,"Richard Stiles & Oaul Imhof, D.D.S.",Cook,info@smiledesplaines.com,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,Northwest Dental Associates,,,"10600 Higgins Rd
Rosemont, IL 60018-3716
(42.00005393587257, -87.89309988779213)",,,,,,,"Patricia R. Varco-White, D.D.S.",Cook,pvwdds@comcast.net,Dental Clinic,,,
http://data.illinois.gov/Social-Healthcare/IEMA-Dental-Facilities-in-Illinois/678e-ivxs,Illinois,Dental facilities in Illinois who currently posses radiation producing equipment (x-ray or laser).,,"Clinton, Scott W., D.D.S.",,,"1011 Touhy Ave
DesPlaines, IL 60018-5802
(42.00914000594361, -87.89923209162711)",,,,,,,"Scott W. Clinton, D.D.S.",Cook,drsclinton@sbcglobal.net,Dentist,,,
